Search Term,Total Unique Searches,% Search Exits,Avg. Search Depth
Seasons story,3,0.00%,3.33
Secret Owner,3,0.00%,0.67
Secret Seven,3,33.33%,0.33
see saw,3,33.33%,0
See see a tiger has come!,3,66.67%,0.67
see you tommorow,3,0.00%,10.33
Seed bank,3,0.00%,1
Seed dispersal,3,100.00%,1.67
seed germination,3,0.00%,3.33
Seed germination,3,33.33%,6
seed story,3,0.00%,1.67
Seeing,3,33.33%,1
sejal and jalebi,3,0.00%,0.33
Sejal mehta,3,0.00%,6.33
Sekar and aniah,3,0.00%,1.33
sel,3,33.33%,4.33
Selemeng's cats,3,0.00%,2.67
self acceptance,3,0.00%,2
Self cleanliness,3,66.67%,0.33
self control,3,0.00%,1.33
Self discipline,3,100.00%,0.67
self love,3,0.00%,6.33
Selva's morning,3,0.00%,2.67
Semblables ou différents,3,0.00%,6.33
Semua gara-gara si kucing,3,33.33%,0.67
Senggutru and the Giant,3,66.67%,0
Sengupta,3,0.00%,8.33
sense of smell stories,3,33.33%,2.33
sense organs story,3,33.33%,2.67
Sensitivity,3,0.00%,3.67
sentence,3,0.00%,2.33
senzo,3,0.00%,3
sepedi,3,0.00%,17.67
sepedi books,3,0.00%,6.67
sequences,3,0.00%,0.33
Sequences,3,0.00%,1.33
Series,3,0.00%,2.67
seriyaana potti,3,33.33%,0.67
serpent,3,0.00%,1
Serpent,3,0.00%,1.67
"serpy, the snake",3,66.67%,0.33
"Serpy, The Snake",3,0.00%,9.33
Setya,3,33.33%,1
seven tails,3,0.00%,3
Seventh sun,3,0.00%,2.33
sewing,3,0.00%,1.33
sex stories,3,0.00%,14
sexy girl,3,0.00%,0.67
Seyarkai ilai,3,66.67%,0.33
shaan's incredible insects,3,0.00%,1.67
Shadab Ahmad,3,0.00%,3.67
shadow story,3,33.33%,0.67
shafi,3,33.33%,3.33
Shahan pz,3,33.33%,2.33
shahid anwar,3,0.00%,0
shak,3,33.33%,0.67
shakuntala,3,33.33%,0
Shalini,3,0.00%,0.67
SHALINI,3,0.00%,10.67
Shalini Srinivasan,3,0.00%,1
Shals,3,33.33%,1.67
shambu,3,0.00%,0.67
shamim shaukh,3,33.33%,1.33
shanti hindi,3,0.00%,4
shanti's friend,3,33.33%,2.67
shanu,3,0.00%,2.33
shape family,3,66.67%,0.33
Shapes and patterns,3,33.33%,8
shapes and space,3,0.00%,1
Shapes game,3,0.00%,2.33
Shapes in nature,3,0.00%,0.67
Sharada,3,66.67%,2.33
Sharanya speaks,3,0.00%,5
Sharanya Speaks To Robots,3,0.00%,0.67
Shararat,3,0.00%,0.33
share a home,3,0.00%,0.67
Share it fare,3,33.33%,1
sharing stories,3,0.00%,3
Sharing stories,3,33.33%,2
Sharing story,3,66.67%,2.67
Shark and crab,3,33.33%,1.33
shark stories,3,33.33%,0.67
Shawl ka aakhir kya hua,3,0.00%,1
Shawl ka kya hua,3,0.00%,1.67
Shcool,3,66.67%,0.33
She,3,0.00%,1.67
Shedding new light on plants,3,0.00%,3.33
sheela,3,0.00%,3.67
Sheena,3,33.33%,3
sheep on a ship,3,66.67%,0
Sher,3,0.00%,4.33
sher aur khargosh,3,0.00%,2.33
Sher ka,3,0.00%,1.33
sher ke joote,3,0.00%,4.33
Shh simi is listening,3,33.33%,0.67
Shh Simi is listening,3,0.00%,2.67
shh simmi is listening,3,0.00%,1
shh what's that,3,0.00%,1.33
Shh! What's That?,3,0.00%,1.33
Shh!What's That?,3,0.00%,0.67
Shh....,3,0.00%,1.33
shhh simmi is listening,3,0.00%,0.67
Shhh Simmi is listening,3,66.67%,1.67
Shhhh,3,0.00%,1.67
Shhhh simi is listenging,3,100.00%,0.33
Shhhh simmi is listening,3,66.67%,0.67
shikari s cycling adventure,3,0.00%,0.33
Shikari’s Cycling Adventure,3,0.00%,1.67
shikaris,3,0.00%,1
Shikaris cycling adventure,3,33.33%,2.33
shilpa,3,0.00%,1.67
Shilpa Swarnim,3,0.00%,1
Shin,3,0.00%,4.67
shin chan,3,0.00%,1.67
Shin-chan,3,33.33%,6.67
Shingari srinivas,3,0.00%,1
Shingari Srinivas,3,0.00%,4
Shingeri shrinivas,3,33.33%,3
Shingeri srinivas,3,0.00%,1.33
Shirnindh,3,66.67%,1.33
Shiv,3,0.00%,1.67
shivaji sawant,3,100.00%,0
Shobhini and Nani,3,0.00%,0.67
shoe cat thoo cat,3,0.00%,2.33
Shoe's can talk,3,0.00%,1.67
Shoecat thoecat,3,66.67%,0.67
shoemaker and the elves,3,0.00%,1.33
Shoo cat,3,0.00%,2.67
Shoocat thoocat,3,33.33%,1
shopping mall,3,0.00%,1
Shor,3,0.00%,11.67
Short,3,33.33%,0
Short Hindi story,3,66.67%,2.67
short moral stories,3,0.00%,1.67
Short moral stories,3,33.33%,1.67
short moral story,3,0.00%,2.33
Short school stories,3,100.00%,3.33
Short stories cbt pdf,3,66.67%,1.33
short stories for kids,3,33.33%,1
short stories in english,3,0.00%,3.33
Short stories level 1,3,0.00%,4
Short story for 7 years old,3,66.67%,1
Short story level 1,3,33.33%,4.33
Short story on butterfly,3,33.33%,0.67
should,3,0.00%,2.67
Shraddha,3,33.33%,4
Shraddha siddhesh daul,3,66.67%,0.33
Shravan's presence of mind,3,0.00%,3.67
shrawan,3,0.00%,1
shrengeri,3,0.00%,3
shreya,3,0.00%,4.67
shreya shruti,3,0.00%,2
Shreya shruti,3,33.33%,3.67
Shreya's village adventure,3,33.33%,2.33
shri,3,0.00%,1
Shri,3,0.00%,3.33
Shri krishna,3,0.00%,1
Shri Krishna level 1,3,66.67%,0.33
Shrigeri shrinivas,3,33.33%,4.67
Shrikari,3,0.00%,1.33
shrimati chang ki chitti,3,0.00%,4.33
shrimati cheng ki chitti,3,0.00%,2.67
shrinegi shrinivas,3,0.00%,1.33
Shring,3,0.00%,3
Shringari Shrinivas,3,0.00%,2.67
shringeri shrinavas,3,0.00%,5
shringeri shrinewas,3,33.33%,4.67
SHRINGERI SHRINIVAS,3,33.33%,2
Shringeri Srinivasa too many bananas,3,100.00%,0.33
shrinidhi,3,0.00%,2
Shrinidhi,3,0.00%,17.33
Shrinithya vedula,3,0.00%,2.33
Shriya Nulkar,3,33.33%,8.33
Shriyon,3,0.00%,6
Shruthi roa,3,66.67%,1.33
Shruti floats,3,66.67%,2.67
shuborno,3,0.00%,1
shunt,3,0.00%,1
Shunti,3,0.00%,1.67
shweta ganesh kumar,3,0.00%,1
Si Henry Ang batang sinisinok,3,0.00%,1
Si j'étais,3,0.00%,1.67
Si Tommy at si tingu,3,0.00%,1
sickness,3,33.33%,1.67
Siddarth Marimganti,3,33.33%,1.67
siddhart marimganti,3,33.33%,0.67
Siddharth Tanikella,3,0.00%,3.33
Siddhartha,3,0.00%,2.33
siddhi vartak,3,0.00%,2.67
Sight word,3,0.00%,1.67
sign in,3,33.33%,1
sikada ka geet,3,33.33%,0.33
silkworm,3,0.00%,7.67
silly,3,33.33%,1
Silly,3,0.00%,0.67
silly dilly,3,100.00%,0
silly story,3,0.00%,7.67
Sily jokes,3,0.00%,3.67
Simar Kaur,3,0.00%,1.33
Simba's cosy corner,3,0.00%,1.67
Simmi listening,3,66.67%,1.33
Simon says,3,0.00%,0.67
simple past tense,3,0.00%,0.33
simple story,3,0.00%,3
simple tense,3,33.33%,2.67
simply nanju,3,100.00%,0
Simply nanju,3,0.00%,0
Simunyewu,3,0.00%,0.33
Sindhi,3,33.33%,2
sindiwe and the fireflies,3,0.00%,0.67
sindwe,3,33.33%,2.33
Sing for me,3,66.67%,0.33
sing in rain,3,66.67%,2.67
Singapore,3,100.00%,0.33
singeri shrinivas,3,66.67%,1
singeri srinavas,3,0.00%,1.67
Singing the rain,3,0.00%,8.67
singing the truth,3,33.33%,3.67
Singing the Truth,3,0.00%,3
singiri srinivas,3,0.00%,1.67
Sink,3,33.33%,1.67
Sink and float,3,0.00%,2.33
sinking ships and sailing spoons,3,33.33%,0.67
Sinking spoon,3,66.67%,0.67
Sir M Visvesvaraya,3,0.00%,2.67
Sir m visveswaraya,3,33.33%,2.67
Sir sapata,3,0.00%,2.67
Sirama-rama,3,0.00%,1
siruvar padel,3,66.67%,1
sis vs bro,3,33.33%,0
sissos flight,3,0.00%,1.33
Sister and brother,3,66.67%,1.67
Sister sister where does thunder come from ?,3,33.33%,0
Sister sister why don't things fall up,3,0.00%,1.67
Sister sister why the sky is blue,3,0.00%,3.33
"Sister, sister",3,33.33%,8
"Sister, Sister Where Does Thunder Come From",3,0.00%,1
SISTERS,3,0.00%,2.33
sisters colorful books,3,33.33%,0.33
Sitara group up,3,0.00%,0.67
SITARA GROWS UP,3,0.00%,1.33
sivani,3,33.33%,0.33
Sivani,3,0.00%,1.33
siya,3,33.33%,7
siyaar ki haar,3,0.00%,1
sizes,3,0.00%,3.33
sizwe,3,33.33%,1.67
skandu anna,3,33.33%,2.67
skills,3,33.33%,1.33
skit,3,33.33%,6.33
skool ka phala din,3,0.00%,1.67
Sky is falling,3,0.00%,1.33
skyway shock,3,33.33%,6
Sleep and glow,3,33.33%,1
Sleep baby sleep,3,66.67%,0
sleeping king,3,33.33%,2.67
Sleeping king,3,0.00%,4.33
Sleepy Bhima English,3,100.00%,0
sleepy mr sloth,3,0.00%,1
Sleepy Mr Sloth,3,0.00%,1
sleepy mr. sloth,3,0.00%,2.33
sleepy mr.sloth,3,0.00%,1
sleepy the snake,3,66.67%,0.67
Slide,3,0.00%,1.33
Slither.io,3,0.00%,0
sloth bear,3,33.33%,2.33
Sloth's Surprise,3,0.00%,0.33
Slovak,3,0.00%,2.33
slovenian,3,0.00%,3.33
slug,3,66.67%,1.33
small boy,3,0.00%,4.67
Small English story,3,66.67%,5.67
Small family,3,0.00%,4.33
small girl,3,0.00%,1.67
small smaller,3,66.67%,2.67
small teacher,3,33.33%,1
Small to big,3,0.00%,5.67
smart nose,3,33.33%,1.33
smart phone,3,33.33%,0.33
smart sona help her mother,3,0.00%,1.33
Smart sona in tamil,3,0.00%,2
Smart sonu,3,0.00%,3
smartphones,3,33.33%,2.67
Smell in marathi,3,0.00%,1.33
Smile please english,3,0.00%,5.33
smile please hindi,3,0.00%,2.33
Smile pleass,3,0.00%,4.33
Smile plese,3,0.00%,2
"smile, please",3,0.00%,1.33
Smileplease,3,33.33%,2.33
Smiles,3,0.00%,1.67
smiling rabbit,3,0.00%,8.67
SMITI,3,0.00%,2
smooth,3,33.33%,0.67
Smudrabudi,3,0.00%,0.67
Sn,3,0.00%,0.67
snacks,3,0.00%,11.67
snail speeds up!,3,0.00%,0.33
snails journey,3,0.00%,1
Snake and parrot,3,66.67%,1.67
Snake and parrot story in tamil,3,66.67%,0.67
snake and parrots,3,0.00%,1
Snifles,3,0.00%,2.67
Snip (Wordless),3,0.00%,0.67
SNOW WHITE,3,0.00%,2.33
snowy day,3,33.33%,0.67
So does,3,0.00%,4.67
"Soar on, kite",3,0.00%,1.33
soccer star hiking adventure,3,0.00%,6
Soccer Star Hiking Adventure,3,0.00%,1.33
Social emotional,3,0.00%,3.67
social issues,3,33.33%,0.67
social justice,3,0.00%,1
Social media,3,0.00%,7
social responsibility,3,0.00%,0.67
Social science,3,0.00%,1.67
SOCIAL STUDIES,3,0.00%,1.33
society,3,33.33%,3.33
Society,3,33.33%,0.67
socio emotional learning,3,33.33%,0
Sock Puppet,3,0.00%,2.67
sofa mily,3,0.00%,0
Sofa mily,3,33.33%,1.67
Sofia,3,0.00%,2.67
soft,3,0.00%,0.67
Soham,3,33.33%,5.33
Sohan govindaraju,3,66.67%,0.67
Sohan Govindaraju,3,33.33%,2.67
soil erosion,3,33.33%,1.33
Sojao Tinku,3,0.00%,8
sol,3,0.00%,0.67
Solar system story,3,33.33%,1.33
soldiers,3,33.33%,1.33
Soldiers,3,0.00%,1.67
Solubility,3,33.33%,0.67
Soluble,3,33.33%,1
Soluble insoluble,3,0.00%,1.67
soma book cafe,3,66.67%,0
somali,3,33.33%,0.33
sona badi sayani,3,0.00%,1.33
sona ki naak,3,33.33%,0.67
sona's nose,3,0.00%,1
Sona's smart nose,3,0.00%,2.67
Sona's Very Smart Nose,3,0.00%,2.33
sonakshi verma,3,0.00%,4.67
Sonas nose,3,0.00%,1.33
sonas very smart nose,3,0.00%,3.33
Soni and her school bus,3,0.00%,0.67
Sonu monu rina,3,0.00%,4.67
Sooryuni Kopam,3,0.00%,0
Sore throat,3,0.00%,1.33
sorry for having fun,3,33.33%,0.67
"Sorry, excuse me, please thank you stories",3,100.00%,0.67
Sorting by size,3,0.00%,1.67
sorting stories,3,0.00%,2
Sorting story,3,0.00%,5
sounds all around,3,0.00%,4.33
Sounds all around,3,0.00%,2.67
sounds at night,3,0.00%,4.67
sounds of animals,3,0.00%,1.67
Soup for amma,3,66.67%,0.33
source of food,3,66.67%,0.33
sources of light,3,66.67%,0.67
sourceswater,3,33.33%,12
Sous mon lit,3,0.00%,1
south africa,3,33.33%,0.33
south india,3,33.33%,3.67
sowmya rajendran,3,66.67%,0
Sowmya Rajendran,3,0.00%,2.67
Space adventure,3,0.00%,1
space book,3,0.00%,8
Space books,3,0.00%,14
Spaceship,3,33.33%,4
Spanich,3,0.00%,1.33
Spanis,3,0.00%,0
Sparrow and fruit,3,33.33%,1
Sparrow and the poop,3,66.67%,0.33
sparrows,3,0.00%,0.33
Speaking,3,0.00%,0.67
Speaking the story Marathi,3,0.00%,2.33
spectacles,3,0.00%,3.33
Spectacles,3,0.00%,0
speech therapy,3,0.00%,3.33
SPELLBOUND,3,33.33%,1.33
spellbound forest,3,66.67%,0.33
Spice,3,33.33%,0.33
Spicy spider,3,0.00%,1.67
Spider level 1,3,0.00%,2
spider web,3,0.00%,1.67
spider-man,3,0.00%,1.33
Spider-Man stories,3,33.33%,0
spiders stories,3,33.33%,1.33
Spit,3,66.67%,3.33
spit spit,3,33.33%,1.67
Spoon,3,33.33%,2.33
Spoon like use,3,66.67%,0
sport day,3,0.00%,2
Sport day,3,0.00%,2
SPORTS,3,0.00%,2
SPORTS STORIES,3,33.33%,4
sportsday,3,0.00%,1.67
spotting,3,33.33%,4
Spotting book,3,33.33%,2.33
Spring-loaded,3,33.33%,1
spy a lake,3,33.33%,4
square cat,3,33.33%,0.33
square stories,3,66.67%,0.67
square story,3,33.33%,1.33
squirril,3,66.67%,0
srengeri srinivas,3,0.00%,2
Sri,3,0.00%,1
Srigari Srinivas,3,0.00%,2
Srigeri Srenevas,3,0.00%,1
Srigeri Srinivas stories,3,66.67%,0
srigiri srinivas,3,33.33%,5.33
srija preethi,3,0.00%,6.67
Srinageri shr,3,33.33%,2.67
srinegri,3,33.33%,6.67
Srinegri,3,0.00%,1.33
sring,3,0.00%,1.33
Sring,3,0.00%,2.67
sringari shrinivas,3,0.00%,2
Sringari shrinivas,3,0.00%,4.33
sringari srinivas learns to lagh,3,33.33%,1
sringari sriniwas,3,33.33%,2.33
sringari srinvas,3,33.33%,5
Sringer,3,0.00%,3.67
sringeri annual haircut,3,33.33%,2
sringeri banana,3,0.00%,1.33
Sringeri english books to read....,3,0.00%,1
Sringeri Shriniwas,3,0.00%,6.67
sringeri srinivas annual haircut day,3,0.00%,2.67
Sringeri Srinivas annual haircut day,3,0.00%,3.33
Sringeri Srinivas books,3,0.00%,2
Sringeri Srinivas english,3,0.00%,2
sringeri srinivas hair cut,3,0.00%,0.67
Sringeri srinivas in english,3,0.00%,0.67
sringeri srinivas kannada story,3,33.33%,1
SRINGERI SRINIVAS LEARNS TO LAUGH,3,0.00%,1
Sringeri srinivas leran to laugh,3,33.33%,0.67
sringeri srinivas stories in english,3,0.00%,7
Sringeri srinivas story,3,33.33%,1.67
sringeri srinivas storys,3,0.00%,3.33
Sringeri Srinivas too many bananas,3,33.33%,1.67
sringeri srinivs,3,33.33%,0.67
sringeri stories,3,0.00%,4
Sringery srinivas,3,0.00%,2.67
Sringery Srinivas,3,33.33%,2
Sringri,3,0.00%,1.33
Srinivas learns to laugh,3,33.33%,2.33
srinivasa,3,0.00%,5.33
srividhya venkat,3,66.67%,0.67
Sruthi floats an idea,3,0.00%,2
Sst stories,3,66.67%,0
st lucia,3,66.67%,1.67
stage 1,3,0.00%,2.33
stage fight,3,0.00%,1
stagefright,3,33.33%,1
Standard 2,3,33.33%,1.67
standing line,3,33.33%,1
Standing line,3,0.00%,4
star fish,3,33.33%,1
Starfish,3,0.00%,3
STARLIGHT ADVENTURE,3,0.00%,1.67
starry,3,33.33%,1
starwars,3,33.33%,1
state of matter,3,0.00%,4
states of India,3,33.33%,0.67
statue,3,33.33%,1
Stay at home,3,33.33%,0.33
stay at home bumpy,3,0.00%,1.67
Stay healthy,3,33.33%,2
staya watch out,3,0.00%,1.67
Staya watch out,3,33.33%,0.67
staying healthy,3,0.00%,4
Std 5,3,0.00%,2
stella,3,0.00%,26.33
Stem books,3,0.00%,3.67
Stem story,3,0.00%,5.67
stereotype,3,33.33%,8.67
Stereotypes,3,0.00%,2.67
Stereotypes stories,3,0.00%,2.33
Steven Gets Sick,3,0.00%,1
Stick your toughe out,3,33.33%,3
Stick your tounge out,3,0.00%,1.33
Sticky and snail,3,33.33%,1
sticky gets stuck,3,33.33%,0.33
Sticky gets stuck,3,0.00%,0.67
Sticky the snail,3,33.33%,0.67
Stinger srinivas,3,0.00%,1
Stolen scared,3,66.67%,0
stone age,3,0.00%,1
stor,3,33.33%,0.67
stori,3,0.00%,1.67
Storie per bambini,3,0.00%,1.67
Stories about animals,3,0.00%,2.67
stories about food,3,0.00%,3.33
stories about friends,3,0.00%,5
stories about India,3,33.33%,0.67
stories about lord krishna,3,0.00%,2
stories about plants,3,0.00%,0.67
stories by priyanshi panwar,3,0.00%,6.67
Stories for 10 year old boys,3,0.00%,8.67
Stories for 3 year old,3,33.33%,2
Stories for 3 years kids,3,66.67%,1
Stories for 5 years old,3,0.00%,1.67
Stories for 8years old in English,3,66.67%,0.33
stories for class 1,3,0.00%,4.67
stories for class 4 in english,3,0.00%,3.67
stories for girls,3,33.33%,0.33
stories for grade 1,3,0.00%,2.67
Stories for grade 4,3,0.00%,3
stories for level 6,3,0.00%,5.67
Stories for level 6,3,33.33%,0.67
Stories for preschoolers,3,33.33%,1
stories for toddlers,3,0.00%,1
stories from africa,3,33.33%,0.33
STORIES IN ENGLISH,3,0.00%,2
Stories in hindi language,3,0.00%,2.33
Stories in hindi on colours level 1,3,0.00%,4.67
Stories in marathi,3,0.00%,7.33
stories in telugu,3,0.00%,4.67
stories level 1,3,0.00%,6
Stories level 2,3,0.00%,1.33
stories of bears,3,66.67%,0.33
stories of cities,3,0.00%,1
stories of ruskin bond,3,33.33%,0
Stories on birds,3,33.33%,2
stories on butterflies,3,33.33%,1
Stories on cleverness,3,100.00%,0
stories on doctor,3,0.00%,1.33
Stories on emotions,3,33.33%,1.67
stories on family,3,0.00%,5
Stories on food,3,66.67%,3.67
stories on friends,3,0.00%,1.33
Stories on friends,3,0.00%,5
stories on fruits,3,0.00%,2
stories on games,3,0.00%,0.67
Stories on games,3,0.00%,4.33
Stories on gratitude,3,33.33%,3.33
stories on healthy eating,3,0.00%,7
stories on home,3,33.33%,4
stories on honesty,3,33.33%,1
Stories on honesty,3,0.00%,7.33
Stories on hygiene,3,0.00%,2
Stories on lifeskills,3,100.00%,0
stories on migration,3,0.00%,2
stories on moral values,3,66.67%,1.33
Stories on numbers,3,33.33%,4.67
stories on peace,3,0.00%,1
Stories on plant,3,0.00%,2
stories on respect,3,33.33%,1.67
Stories on respect,3,0.00%,1.33
Stories on responsibility,3,0.00%,2.33
stories on screen games,3,66.67%,1.67
Stories on sharing,3,0.00%,2
Stories on social issues,3,0.00%,3.33
stories on team work,3,33.33%,4.67
Stories on texture,3,33.33%,1.67
Stories on transportation,3,0.00%,10.33
stories related to air,3,0.00%,4.33
Stories related to school,3,66.67%,1
Stories related to senses,3,66.67%,1.33
Stories with activities,3,100.00%,0.33
Stories with audio,3,0.00%,5.33
stories with dialogues,3,0.00%,2
stories with morals,3,0.00%,0.67
Stories with morals,3,0.00%,2
stories with one sentence,3,0.00%,1
stories with sight words,3,33.33%,3.33
storm in the garden,3,66.67%,1.67
story about colours,3,0.00%,2.33
story about family,3,0.00%,2
Story about fish,3,0.00%,4.67
story about lines,3,33.33%,1.67
story about myself,3,0.00%,1.67
Story about nature,3,0.00%,2.33
story about rain,3,33.33%,3.33
Story about save tree,3,100.00%,0.33
Story annabella story,3,100.00%,0
Story based on 5 senses,3,0.00%,7.67
story card,3,33.33%,3.67
story english,3,0.00%,1.67
Story for beginner,3,100.00%,0.33
story for grade 1,3,0.00%,3
story for grade 5,3,0.00%,1.33
Story for nursery,3,0.00%,3
Story for toddlers,3,0.00%,1.67
Story gajanan bald,3,0.00%,2.33
Story in dirty hands,3,0.00%,2
story in english,3,0.00%,1
story in Hindi,3,0.00%,2.33
story level 1,3,33.33%,1
story level 2,3,33.33%,0.67
Story level 5,3,33.33%,2.67
story making,3,0.00%,0.33
Story map of wiggly tooth,3,33.33%,1.33
Story Marathi,3,33.33%,1
Story of 'A' letter,3,33.33%,1.67
story of a boy,3,33.33%,3.67
story of a clay pot,3,33.33%,2
story of a dog,3,0.00%,2
story of a teeny tiny ant.,3,0.00%,1
story of butterfly,3,0.00%,1.67
story of dogs,3,33.33%,1.33
story of kindness,3,0.00%,4
Story of Letter,3,0.00%,2.33
story of letter b alphabet stories,3,0.00%,0
story of letter d,3,33.33%,1.33
Story of letter E,3,33.33%,1
story of letter o,3,33.33%,9.33
story of letter s,3,0.00%,2.67
Story of level 1,3,0.00%,5.67
Story of Mahatma Gandhi,3,33.33%,9
story of moon,3,33.33%,1.33
Story of number 7,3,0.00%,2.33
story of plants,3,0.00%,3
story of prefix 're',3,33.33%,1.67
Story of saving water,3,33.33%,2
story of t,3,66.67%,3
Story of us,3,0.00%,1.67
story of water,3,0.00%,2.67
Story of water droplet,3,0.00%,2
Story on addition,3,0.00%,5
story on alphabets,3,33.33%,2
Story on blue,3,33.33%,1
story on butterfly,3,0.00%,1.67
story on car,3,0.00%,1.67
Story on car,3,0.00%,7
story on celebrating festivals,3,33.33%,1
story on christmas,3,66.67%,1.33
story on cleanliness,3,0.00%,3.67
Story on cleanliness,3,0.00%,3.67
Story on conjunctions,3,100.00%,1.33
story on continents,3,0.00%,1.33
Story on corona,3,0.00%,4
story on corona virus,3,0.00%,1.67
story on cow,3,66.67%,1
story on discipline,3,0.00%,6.33
story on Diwali,3,33.33%,2
story on doctor,3,0.00%,1.67
story on dog,3,0.00%,5.33
story on earth,3,0.00%,1.33
Story on earth day,3,0.00%,3.33
Story on eggs,3,33.33%,1
story on eid,3,0.00%,0.33
story on elephants,3,33.33%,0.33
story on eyes,3,0.00%,3.33
Story on F,3,100.00%,0.33
Story on family relationships,3,100.00%,0
story on feelings,3,0.00%,6.33
Story on fruits,3,0.00%,8.33
story on garden,3,33.33%,7.67
story on hitting,3,66.67%,1
story on importance of house and home,3,100.00%,0
story on independence day,3,33.33%,0.33
Story on insects,3,66.67%,2.67
Story on krishna,3,33.33%,2
story on letters,3,0.00%,0
Story on lord mahaveer,3,66.67%,0
story on magic words,3,0.00%,1
story on manners,3,0.00%,1.33
story on math,3,0.00%,1
Story on measurement in maths,3,66.67%,2.33
story on migration,3,33.33%,0.33
story on mother,3,0.00%,8.33
Story on nature,3,0.00%,1.33
Story on numbers,3,0.00%,4.33
story on opposite words,3,33.33%,1.67
Story on pairs,3,66.67%,0
story on patterns,3,0.00%,2
story on peace,3,0.00%,0.33
Story on penguin,3,66.67%,0.67
Story on personal hygiene,3,0.00%,1
story on planets,3,0.00%,5.33
story on questions,3,0.00%,8
story on rainbow,3,33.33%,6
story on reward,3,66.67%,0
Story on rhyming words,3,0.00%,3
Story on seasons,3,0.00%,1.67
story on sense organs,3,0.00%,2
story on soil,3,33.33%,1
Story on square shape for nursery,3,0.00%,4.33
Story on symmetry,3,66.67%,0
Story on tall and short,3,0.00%,3.67
story on taste,3,0.00%,0.67
story on teachers,3,0.00%,2
Story on transportation,3,0.00%,2
Story on weather,3,66.67%,1
Story on zoo,3,100.00%,0.33
Story reader,3,0.00%,10.33
Story related to air,3,0.00%,1
story related to clock,3,0.00%,1.67
Story related to insects,3,66.67%,3
Story related to money,3,33.33%,2.33
story related to music,3,33.33%,1
story related to shapes,3,0.00%,2
story related to transport for kindergarten in hindi,3,33.33%,2.67
Story related to water,3,33.33%,4
Story related to zoo in hindi,3,66.67%,0
story time,3,0.00%,5
Story time,3,33.33%,1.67
story video,3,0.00%,2.67
Story with esy laguage,3,66.67%,0.67
story with morals,3,0.00%,4.33
Story-a-thon,3,100.00%,0
Storycards,3,0.00%,0.33
storyies,3,0.00%,1
storys for kids,3,33.33%,1
storys in hindi,3,33.33%,6
storys of city,3,0.00%,1.33
Stranger's gift,3,33.33%,0.33
street or zoo in telugu,3,33.33%,0.67
street zoo,3,0.00%,2.33
strength,3,0.00%,1.33
string,3,0.00%,0.67
structure,3,66.67%,1
structures,3,0.00%,2.67
stuck in internet,3,33.33%,1.67
Student,3,0.00%,4.67
Students,3,0.00%,5
STUTI SHREE,3,0.00%,0.67
SU,3,0.00%,0
Suaj,3,0.00%,1
subhas chandra bose,3,0.00%,3
Submarine,3,33.33%,4.33
Substraction,3,0.00%,1.33
subtract,3,0.00%,1
Subtract,3,66.67%,0.33
Success,3,66.67%,1.33
Such a beautiful smell,3,66.67%,0.33
SUCH A SWEET SMELL,3,0.00%,2.67
such a sweet smellverbally,3,0.00%,1
suchi govindarajan,3,0.00%,1.33
sud-sud-sud,3,0.00%,17
suddu wants to be a brave boy,3,33.33%,0
sudha,3,0.00%,5
sudha balan,3,0.00%,18
Sudha Murthy stories for kids,3,66.67%,0
Sudha Murty,3,0.00%,1.67
SUDHA MURTY,3,0.00%,2
Sudha thilak,3,0.00%,4
sudha tilak,3,0.00%,25.33
sudipta sen gupta,3,0.00%,1.33
Sudipta Sengupta - The Rock Reader,3,0.00%,1.33
Sudipta sengupta the rock reader,3,33.33%,0.67
Sudipta Sengupta The Rock Reader,3,0.00%,2
sugarcane,3,0.00%,1.67
suhel,3,0.00%,2
suhel quader,3,0.00%,4.33
Sukhiya,3,0.00%,1
sukhiya kaka,3,0.00%,1.67
Sukhiya kaka,3,0.00%,1
suma suma,3,0.00%,1.67
Suman didi,3,0.00%,2.33
suman maharjan,3,33.33%,1.67
Sumeet,3,33.33%,3
Summary of sringeri sriniwas learns TO laugh,3,100.00%,0
Summer fun,3,66.67%,0
Summer season story,3,33.33%,1.33
summer stories,3,33.33%,2
summer sun,3,0.00%,1.33
summer time,3,0.00%,2.33
SUN,3,0.00%,7.67
Sun and the rooster,3,100.00%,0
"Sun, Moon and Water",3,0.00%,0.67
sunahri,3,66.67%,0
Sunaina,3,0.00%,11
Sunehari chiriya,3,66.67%,1.33
Sunhari,3,0.00%,2.67
sunhari chiriya,3,0.00%,4.67
Sunhari chiriya,3,33.33%,0.67
sunheri chidya,3,0.00%,0.67
Sunita ki pahiyan kursi,3,0.00%,12.67
Sunny day,3,0.00%,1
sunu sunu snail,3,0.00%,1
supamma,3,0.00%,10.33
Super,3,33.33%,0.67
super hero stories,3,0.00%,0.67
super mummy and super super,3,0.00%,1
super turtle,3,33.33%,1
Supercow,3,0.00%,0
Superheroes,3,0.00%,1.67
Superheroes are everywhere,3,100.00%,0
superpower,3,66.67%,1.67
superstition,3,33.33%,0.33
Superstition,3,0.00%,1.67
Suppama loves to craft,3,0.00%,2.33
SUPPANDI,3,0.00%,1
"Suraj, Chanda and ice cream",3,33.33%,1.33
suraksha giri,3,0.00%,9.67
Suresh,3,0.00%,2
surprise gift,3,0.00%,0.67
Suruchi,3,0.00%,1.33
Susheela kopan in tamil,3,100.00%,0.33
Susheela. Mekala,3,33.33%,3.67
